"Device ID" "Device Name" "Received At" Temperature Humidity
A84041274A59D771 EMAP_322 "2025-01-24 03:30:00" 18.05 58.1
A84041274A59D771 EMAP_322 "2025-01-24 03:35:00" 18.02 57.2
A84041274A59D771 EMAP_322 "2025-01-24 03:40:00" 18.01 57.3
A84041274A59D771 EMAP_322 "2025-01-24 03:45:00" 17.99 58.1
A84041274A59D771 EMAP_322 "2025-01-24 03:50:00" 17.99 58.2
A84041274A59D771 EMAP_322 "2025-01-24 03:55:00" 18.04 57.6
A84041274A59D771 EMAP_322 "2025-01-24 04:00:00" 17.99 57.6
A84041274A59D771 EMAP_322 "2025-01-24 04:05:00" 17.99 58.5
A84041274A59D771 EMAP_322 "2025-01-24 04:10:00" 18.02 57.7
A84041274A59D771 EMAP_322 "2025-01-24 04:15:00" 18.05 57.3
A84041274A59D771 EMAP_322 "2025-01-24 04:20:00" 17.99 57.0
A84041274A59D771 EMAP_322 "2025-01-24 04:25:00" 17.95 58.7
A84041274A59D771 EMAP_322 "2025-01-24 04:30:00" 17.95 59.0
A84041274A59D771 EMAP_322 "2025-01-24 04:35:00" 18.01 59.2
A84041274A59D771 EMAP_322 "2025-01-24 04:40:00" 18.02 58.5
A84041274A59D771 EMAP_322 "2025-01-24 04:45:00" 17.99 58.5
A84041274A59D771 EMAP_322 "2025-01-24 04:50:00" 18.01 60.3
A84041274A59D771 EMAP_322 "2025-01-24 04:55:00" 18.01 59.6
A84041274A59D771 EMAP_322 "2025-01-24 05:00:00" 18.09 59.3
A84041274A59D771 EMAP_322 "2025-01-24 05:05:00" 18.04 58.0
A84041274A59D771 EMAP_322 "2025-01-24 05:10:00" 17.99 60.0
A84041274A59D771 EMAP_322 "2025-01-24 05:15:00" 17.99 60.9
A84041274A59D771 EMAP_322 "2025-01-24 05:20:00" 18.09 60.5
A84041274A59D771 EMAP_322 "2025-01-24 05:25:00" 18.09 59.0
A84041274A59D771 EMAP_322 "2025-01-24 05:30:00" 18.05 57.5
A84041274A59D771 EMAP_322 "2025-01-24 05:35:00" 18.07 59.1
A84041274A59D771 EMAP_322 "2025-01-24 05:40:00" 18.09 60.5
A84041274A59D771 EMAP_322 "2025-01-24 05:45:00" 18.13 58.3
A84041274A59D771 EMAP_322 "2025-01-24 05:50:00" 18.13 58.8
A84041274A59D771 EMAP_322 "2025-01-24 05:55:00" 18.16 59.9
A84041274A59D771 EMAP_322 "2025-01-24 06:00:00" 18.21 61.1
A84041274A59D771 EMAP_322 "2025-01-24 06:05:00" 18.28 60.8
A84041274A59D771 EMAP_322 "2025-01-24 06:10:00" 18.29 60.8
A84041274A59D771 EMAP_322 "2025-01-24 06:15:00" 18.36 60.7
A84041274A59D771 EMAP_322 "2025-01-24 06:20:00" 18.39 60.5
A84041274A59D771 EMAP_322 "2025-01-24 06:25:00" 18.42 60.5
A84041274A59D771 EMAP_322 "2025-01-24 06:30:00" 18.43 60.5
A84041274A59D771 EMAP_322 "2025-01-24 06:35:00" 18.50 60.8
A84041274A59D771 EMAP_322 "2025-01-24 06:40:00" 18.56 59.8
A84041274A59D771 EMAP_322 "2025-01-24 06:45:00" 18.60 60.0
A84041274A59D771 EMAP_322 "2025-01-24 06:50:00" 18.67 59.7
A84041274A59D771 EMAP_322 "2025-01-24 06:55:00" 18.73 59.4
A84041274A59D771 EMAP_322 "2025-01-24 07:00:00" 18.74 58.4
